Data;licznik (Km);Zaplacilem;zl/L;L;dnie od ostatniego tankowania;spalane ;koszt 1Km;koszt 100Km;??zcnie przejechane kilometry;??cznie zap?aci?em ;?rednio za L/z? ;??cznie litrów;?rednie spalanie ;Lepiej (+) gorzej (-);Srednia dni od poprzedniego tankowania;Srednia kosztu 100km;;;;;;;;
19.05.2019;333,8;221,52 z?;5,68 z?;39;;11,6836429;0,66 z?;66,36 z?;32570,14;19 967,67 z?;6,33 z?;3172,72;9,741192393;-1,942450507;20,57692308;61,77 z?;;;;;;;;
05.06.2019;369,3;242,11 z?;5,77 z?;42;17;11,37286759;0,66 z?;65,56 z?;;;;;;-1,631675195;;;;;;;;;;
21.06.2019;345,5;234,03 z?;5,77 z?;40,5;16;11,72214182;0,68 z?;67,74 z?;;;;;;-1,980949431;;;;;;;;;;
01.07.2019;377,4;223,03 z?;5,69 z?;39,2;10;10,38685745;0,59 z?;59,10 z?;;;;;;-0,645665053;;;;;;;;;;
21.07.2019;375,1;229,86 z?;5,67 z?;40,54;20;10,80778459;0,61 z?;61,28 z?;;;;;;-1,066592198;;;;;;;;;;
15.08.2019;373,4;242,35 z?;5,57 z?;43,51;25;11,6523835;0,65 z?;64,90 z?;;;;;;-1,91119111;;;;;;;;;;
31.08.2019;400,7;230,58 z?;5,49 z?;42;16;10,4816571;0,58 z?;57,54 z?;;;;;;-0,740464707;;;;;;;;;;
19.09.2019;397,7;224,30 z?;5,46 z?;41;19;10,30927835;0,56 z?;56,40 z?;;;;;;-0,568085958;;;;;;;;;;
06.10.2019;355,9;206,29 z?;5,43 z?;37,99;17;10,67434673;0,58 z?;57,96 z?;;;;;;-0,933154334;;;;;;;;;;
23.10.2019;386;215,38 z?;5,39 z?;39,96;17;10,35233161;0,56 z?;55,80 z?;;;;;;-0,611139213;;;;;;;;;;
06.11.2019;375,2;219,86 z?;5,39 z?;40,79;14;10,87153518;0,59 z?;58,60 z?;;;;;;-1,130342788;;;;;;;;;;
23.11.2019;370,9;225,57 z?;5,39 z?;41,85;17;11,28336479;0,61 z?;60,82 z?;;;;;;-1,542172396;;;;;;;;;;
07.12.2019;334,6;192,80 z?;5,39 z?;35,77;14;10,69037657;0,58 z?;57,62 z?;;;;;;-0,949184176;;;;;;;;;;
